,Path,Name,Flag,Card,Type,Description
0,Account, Account ,TU,,DomainResource,"Tracks balance, charges, for patient or cost centerElements defined in Ancestors: id, meta, implicitRules, language, text, contained, extension, modifierExtension"
1,Account.identifier, identifier ,Σ,0..*,Identifier,Account number
2,Account.status, status ,?!Σ,1..1,code,active | inactive | entered-in-error | on-hold | unknownAccountStatus (Required)
3,Account.type, type ,Σ,0..1,CodeableConcept,"E.g. patient, expense, depreciationAccount Types (Example)"
4,Account.name, name ,Σ,0..1,string,Human-readable label
5,Account.subject, subject ,Σ,0..*,Reference(Patient | Device | Practitioner | PractitionerRole | Location | HealthcareService | Organization),The entity that caused the expenses
6,Account.servicePeriod, servicePeriod ,Σ,0..1,Period,Transaction window
7,Account.coverage, coverage ,Σ,0..*,BackboneElement,"The party(s) that are responsible for covering the payment of this account, and what order should they be applied to the account"
8,Account.coverage.coverage, coverage ,Σ,1..1,Reference(Coverage),"The party(s), such as insurances, that may contribute to the payment of this account"
9,Account.coverage.priority, priority ,Σ,0..1,positiveInt,The priority of the coverage in the context of this account
10,Account.owner, owner ,Σ,0..1,Reference(Organization),Entity managing the Account
11,Account.description, description ,Σ,0..1,string,Explanation of purpose/use
12,Account.guarantor, guarantor ,,0..*,BackboneElement,The parties ultimately responsible for balancing the Account
13,Account.guarantor.party, party ,,1..1,Reference(Patient | RelatedPerson | Organization),Responsible entity
14,Account.guarantor.onHold, onHold ,,0..1,boolean,Credit or other hold applied
15,Account.guarantor.period, period ,,0..1,Period,Guarantee account during
16,Account.partOf, partOf ,,0..1,Reference(Account),Reference to a parent Account
