,Path,Name,Flag,Card,Type,Description
0,Bundle, Bundle ,ΣIN,,Resource,"Contains a collection of resources+ Rule: total only when a search or history+ Rule: entry.search only when a search+ Rule: entry.request mandatory for batch/transaction/history, otherwise prohibited+ Rule: entry.response mandatory for batch-response/transaction-response/history, otherwise prohibited+ Rule: FullUrl must be unique in a bundle, or else entries with the same fullUrl must have different meta.versionId (except in history bundles)+ Rule: A document must have an identifier with a system and a value+ Rule: A document must have a date+ Rule: A document must have a Composition as the first resource+ Rule: A message must have a MessageHeader as the first resourceElements defined in Ancestors: id, meta, implicitRules, language"
1,Bundle.identifier, identifier ,Σ,0..1,Identifier,Persistent identifier for the bundle
2,Bundle.type, type ,Σ,1..1,code,document | message | transaction | transaction-response | batch | batch-response | history | searchset | collectionBundleType (Required)
3,Bundle.timestamp, timestamp ,Σ,0..1,instant,When the bundle was assembled
4,Bundle.total, total ,ΣI,0..1,unsignedInt,"If search, the total number of matches"
5,Bundle.link, link ,Σ,0..*,BackboneElement,Links related to this Bundle
6,Bundle.link.relation, relation ,Σ,1..1,string,See http://www.iana.org/assignments/link-relations/link-relations.xhtml#link-relations-1
7,Bundle.link.url, url ,Σ,1..1,uri,Reference details for the link
8,Bundle.entry, entry ,ΣI,0..*,BackboneElement,"Entry in the bundle - will have a resource or information+ Rule: must be a resource unless there's a request or response+ Rule: fullUrl cannot be a version specific referenceThis repeating element order: For bundles of type 'document' and 'message', the first resource is special (must be Composition or MessageHeader respectively). For all bundles, the meaning of the order of entries depends on the bundle type"
9,Bundle.entry.link, link ,Σ,0..*,see link,Links related to this entry
10,Bundle.entry.fullUrl, fullUrl ,Σ,0..1,uri,URI for resource (Absolute URL server address or URI for UUID/OID)
11,Bundle.entry.resource, resource ,Σ,0..1,Resource,A resource in the bundle
12,Bundle.entry.search, search ,ΣI,0..1,BackboneElement,Search related information
13,Bundle.entry.search.mode, mode ,Σ,0..1,code,match | include | outcome - why this is in the result setSearchEntryMode (Required)
14,Bundle.entry.search.score, score ,Σ,0..1,decimal,Search ranking (between 0 and 1)
15,Bundle.entry.request, request ,ΣI,0..1,BackboneElement,Additional execution information (transaction/batch/history)
16,Bundle.entry.request.method, method ,Σ,1..1,code,GET | HEAD | POST | PUT | DELETE | PATCHHTTPVerb (Required)
17,Bundle.entry.request.url, url ,Σ,1..1,uri,URL for HTTP equivalent of this entry
18,Bundle.entry.request.ifNoneMatch, ifNoneMatch ,Σ,0..1,string,For managing cache currency
19,Bundle.entry.request.ifModifiedSince, ifModifiedSince ,Σ,0..1,instant,For managing cache currency
20,Bundle.entry.request.ifMatch, ifMatch ,Σ,0..1,string,For managing update contention
21,Bundle.entry.request.ifNoneExist, ifNoneExist ,Σ,0..1,string,For conditional creates
22,Bundle.entry.response, response ,ΣI,0..1,BackboneElement,Results of execution (transaction/batch/history)
23,Bundle.entry.response.status, status ,Σ,1..1,string,Status response code (text optional)
24,Bundle.entry.response.location, location ,Σ,0..1,uri,The location (if the operation returns a location)
25,Bundle.entry.response.etag, etag ,Σ,0..1,string,The Etag for the resource (if relevant)
26,Bundle.entry.response.lastModified, lastModified ,Σ,0..1,instant,Server's date time modified
27,Bundle.entry.response.outcome, outcome ,Σ,0..1,Resource,OperationOutcome with hints and warnings (for batch/transaction)
28,Bundle.signature, signature ,ΣTU,0..1,Signature,Digital Signature
