,Path,Name,Flag,Card,Type,Description
0,CapabilityStatement, CapabilityStatement ,IN,,DomainResource,"A statement of system capabilities+ Warning: Name should be usable as an identifier for the module by machine processing applications such as code generation+ Rule: A Capability Statement SHALL have at least one of REST, messaging or document element.+ Rule: A Capability Statement SHALL have at least one of description, software, or implementation element.+ Rule: Messaging end-point is required (and is only permitted) when a statement is for an implementation.+ Rule: The set of documents must be unique by the combination of profile and mode.+ Rule: If kind = instance, implementation must be present and software may be present+ Rule: If kind = capability, implementation must be absent, software must be present+ Rule: If kind = requirements, implementation and software must be absentElements defined in Ancestors: id, meta, implicitRules, language, text, contained, extension, modifierExtension"
1,CapabilityStatement.url, url ,Σ,0..1,uri,"Canonical identifier for this capability statement, represented as a URI (globally unique)"
2,CapabilityStatement.version, version ,Σ,0..1,string,Business version of the capability statement
3,CapabilityStatement.name, name ,ΣI,0..1,string,Name for this capability statement (computer friendly)
4,CapabilityStatement.title, title ,Σ,0..1,string,Name for this capability statement (human friendly)
5,CapabilityStatement.status, status ,?!Σ,1..1,code,draft | active | retired | unknownPublicationStatus (Required)
6,CapabilityStatement.experimental, experimental ,Σ,0..1,boolean,"For testing purposes, not real usage"
7,CapabilityStatement.date, date ,Σ,1..1,dateTime,Date last changed
8,CapabilityStatement.publisher, publisher ,Σ,0..1,string,Name of the publisher (organization or individual)
9,CapabilityStatement.contact, contact ,Σ,0..*,ContactDetail,Contact details for the publisher
10,CapabilityStatement.description, description ,I,0..1,markdown,Natural language description of the capability statement
11,CapabilityStatement.useContext, useContext ,ΣTU,0..*,UsageContext,The context that the content is intended to support
12,CapabilityStatement.jurisdiction, jurisdiction ,Σ,0..*,CodeableConcept,Intended jurisdiction for capability statement (if applicable)Jurisdiction (Extensible)
13,CapabilityStatement.purpose, purpose ,,0..1,markdown,Why this capability statement is defined
14,CapabilityStatement.copyright, copyright ,,0..1,markdown,Use and/or publishing restrictions
15,CapabilityStatement.kind, kind ,ΣI,1..1,code,instance | capability | requirementsCapabilityStatementKind (Required)
16,CapabilityStatement.instantiates, instantiates ,Σ,0..*,canonical(CapabilityStatement),Canonical URL of another capability statement this implements
17,CapabilityStatement.imports, imports ,ΣTU,0..*,canonical(CapabilityStatement),Canonical URL of another capability statement this adds to
18,CapabilityStatement.software, software ,ΣI,0..1,BackboneElement,Software that is covered by this capability statement
19,CapabilityStatement.software.name, name ,Σ,1..1,string,A name the software is known by
20,CapabilityStatement.software.version, version ,Σ,0..1,string,Version covered by this statement
21,CapabilityStatement.software.releaseDate, releaseDate ,Σ,0..1,dateTime,Date this version was released
22,CapabilityStatement.implementation, implementation ,ΣI,0..1,BackboneElement,If this describes a specific instance
23,CapabilityStatement.implementation.description, description ,Σ,1..1,string,Describes this specific instance
24,CapabilityStatement.implementation.url, url ,Σ,0..1,url,Base URL for the installation
25,CapabilityStatement.implementation.custodian, custodian ,ΣTU,0..1,Reference(Organization),Organization that manages the data
26,CapabilityStatement.fhirVersion, fhirVersion ,Σ,1..1,code,FHIR Version the system supportsFHIRVersion (Required)
