,Path,Name,Flag,Card,Type,Description
0,Claim, Claim ,TU,,DomainResource,"Claim, Pre-determination or Pre-authorizationElements defined in Ancestors: id, meta, implicitRules, language, text, contained, extension, modifierExtension"
1,Claim.identifier, identifier ,,0..*,Identifier,Business Identifier for claim
2,Claim.status, status ,?!Σ,1..1,code,active | cancelled | draft | entered-in-errorFinancial Resource Status Codes (Required)
3,Claim.type, type ,Σ,1..1,CodeableConcept,Category or disciplineClaim Type Codes (Extensible)
4,Claim.subType, subType ,,0..1,CodeableConcept,More granular claim typeExample Claim SubType Codes (Example)
5,Claim.use, use ,Σ,1..1,code,claim | preauthorization | predeterminationUse (Required)
6,Claim.patient, patient ,Σ,1..1,Reference(Patient),The recipient of the products and services
7,Claim.billablePeriod, billablePeriod ,Σ,0..1,Period,Relevant time frame for the claim
8,Claim.created, created ,Σ,1..1,dateTime,Resource creation date
9,Claim.enterer, enterer ,,0..1,Reference(Practitioner | PractitionerRole),Author of the claim
10,Claim.insurer, insurer ,Σ,0..1,Reference(Organization),Target
11,Claim.provider, provider ,Σ,1..1,Reference(Practitioner | PractitionerRole | Organization),Party responsible for the claim
12,Claim.priority, priority ,Σ,1..1,CodeableConcept,Desired processing ugencyProcess Priority Codes (Example)
13,Claim.fundsReserve, fundsReserve ,,0..1,CodeableConcept,For whom to reserve fundsFundsReserve (Example)
14,Claim.related, related ,,0..*,BackboneElement,Prior or corollary claims
15,Claim.related.claim, claim ,,0..1,Reference(Claim),Reference to the related claim
16,Claim.related.relationship, relationship ,,0..1,CodeableConcept,How the reference claim is relatedExample Related Claim Relationship Codes (Example)
17,Claim.related.reference, reference ,,0..1,Identifier,File or case reference
18,Claim.prescription, prescription ,,0..1,Reference(DeviceRequest | MedicationRequest | VisionPrescription),Prescription authorizing services and products
19,Claim.originalPrescription, originalPrescription ,,0..1,Reference(DeviceRequest | MedicationRequest | VisionPrescription),Original prescription if superseded by fulfiller
20,Claim.payee, payee ,,0..1,BackboneElement,Recipient of benefits payable
21,Claim.payee.type, type ,,1..1,CodeableConcept,Category of recipientPayeeType (Example)
22,Claim.payee.party, party ,,0..1,Reference(Practitioner | PractitionerRole | Organization | Patient | RelatedPerson),Recipient reference
23,Claim.referral, referral ,,0..1,Reference(ServiceRequest),Treatment referral
24,Claim.facility, facility ,,0..1,Reference(Location),Servicing facility
25,Claim.careTeam, careTeam ,,0..*,BackboneElement,Members of the care team
26,Claim.careTeam.sequence, sequence ,,1..1,positiveInt,Order of care team
27,Claim.careTeam.provider, provider ,,1..1,Reference(Practitioner | PractitionerRole | Organization),Practitioner or organization
28,Claim.careTeam.responsible, responsible ,,0..1,boolean,Indicator of the lead practitioner
29,Claim.careTeam.role, role ,,0..1,CodeableConcept,Function within the teamClaim Care Team Role Codes (Example)
30,Claim.careTeam.qualification, qualification ,,0..1,CodeableConcept,Practitioner credential or specializationExample Provider Qualification Codes (Example)
31,Claim.supportingInfo, supportingInfo ,,0..*,BackboneElement,Supporting information
32,Claim.supportingInfo.sequence, sequence ,,1..1,positiveInt,Information instance identifier
33,Claim.supportingInfo.category, category ,,1..1,CodeableConcept,Classification of the supplied informationClaim Information Category Codes (Example)
34,Claim.supportingInfo.code, code ,,0..1,CodeableConcept,Type of informationException Codes (Example)
35,Claim.supportingInfo.timingDate,timingDate,,0..1,date,When it occurred
36,Claim.supportingInfo.timingPeriod,timingPeriod,,0..1,Period,When it occurred
37,Claim.supportingInfo.valueBoolean,valueBoolean,,0..1,boolean,Data to be provided
38,Claim.supportingInfo.valueString,valueString,,0..1,string,Data to be provided
39,Claim.supportingInfo.valueQuantity,valueQuantity,,0..1,Quantity,Data to be provided
40,Claim.supportingInfo.valueAttachment,valueAttachment,,0..1,Attachment,Data to be provided
41,Claim.supportingInfo.valueReference(any),valueReference(any),,0..1,Reference(Any),Data to be provided
42,Claim.supportingInfo.reason, reason ,,0..1,CodeableConcept,Explanation for the informationMissing Tooth Reason Codes (Example)
43,Claim.diagnosis, diagnosis ,,0..*,BackboneElement,Pertinent diagnosis information
44,Claim.diagnosis.sequence, sequence ,,1..1,positiveInt,Diagnosis instance identifier
45,Claim.diagnosis.diagnosisCodeableconcept,diagnosisCodeableconcept,,1..1,CodeableConcept,Nature of illness or problemICD-10 Codes (Example)
46,Claim.diagnosis.diagnosisReference(condition),diagnosisReference(condition),,1..1,Reference(Condition),Nature of illness or problemICD-10 Codes (Example)
47,Claim.diagnosis.type, type ,,0..*,CodeableConcept,Timing or nature of the diagnosisExample Diagnosis Type Codes (Example)
48,Claim.diagnosis.onAdmission, onAdmission ,,0..1,CodeableConcept,Present on admissionExample Diagnosis on Admission Codes (Example)
49,Claim.diagnosis.packageCode, packageCode ,,0..1,CodeableConcept,Package billing codeExample Diagnosis Related Group Codes (Example)
50,Claim.procedure, procedure ,,0..*,BackboneElement,Clinical procedures performed
51,Claim.procedure.sequence, sequence ,,1..1,positiveInt,Procedure instance identifier
52,Claim.procedure.type, type ,,0..*,CodeableConcept,Category of ProcedureExample Procedure Type Codes (Example)
53,Claim.procedure.date, date ,,0..1,dateTime,When the procedure was performed
54,Claim.procedure.procedureCodeableconcept,procedureCodeableconcept,,1..1,CodeableConcept,Specific clinical procedureICD-10 Procedure Codes (Example)
55,Claim.procedure.procedureReference(procedure),procedureReference(procedure),,1..1,Reference(Procedure),Specific clinical procedureICD-10 Procedure Codes (Example)
56,Claim.procedure.udi, udi ,,0..*,Reference(Device),Unique device identifier
57,Claim.insurance, insurance ,Σ,1..*,BackboneElement,Patient insurance information
58,Claim.insurance.sequence, sequence ,Σ,1..1,positiveInt,Insurance instance identifier
59,Claim.insurance.focal, focal ,Σ,1..1,boolean,Coverage to be used for adjudication
60,Claim.insurance.identifier, identifier ,,0..1,Identifier,Pre-assigned Claim number
61,Claim.insurance.coverage, coverage ,Σ,1..1,Reference(Coverage),Insurance information
62,Claim.insurance.businessArrangement, businessArrangement ,,0..1,string,Additional provider contract number
63,Claim.insurance.preAuthRef, preAuthRef ,,0..*,string,Prior authorization reference number
64,Claim.insurance.claimResponse, claimResponse ,,0..1,Reference(ClaimResponse),Adjudication results
65,Claim.accident, accident ,,0..1,BackboneElement,Details of the event
66,Claim.accident.date, date ,,1..1,date,When the incident occurred
67,Claim.accident.type, type ,,0..1,CodeableConcept,The nature of the accidentV3 Value SetActIncidentCode (Extensible)
68,Claim.accident.locationAddress,locationAddress,,0..1,Address,Where the event occurred
69,Claim.accident.locationReference(location),locationReference(location),,0..1,Reference(Location),Where the event occurred
70,Claim.item, item ,,0..*,BackboneElement,Product or service provided
71,Claim.item.sequence, sequence ,,1..1,positiveInt,Item instance identifier
72,Claim.item.careTeamSequence, careTeamSequence ,,0..*,positiveInt,Applicable careTeam members
73,Claim.item.diagnosisSequence, diagnosisSequence ,,0..*,positiveInt,Applicable diagnoses
