,Path,Name,Flag,Card,Type,Description
0,ClaimResponse, ClaimResponse ,TU,,DomainResource,"Response to a claim predetermination or preauthorizationElements defined in Ancestors: id, meta, implicitRules, language, text, contained, extension, modifierExtension"
1,ClaimResponse.identifier, identifier ,,0..*,Identifier,Business Identifier for a claim response
2,ClaimResponse.status, status ,?!Σ,1..1,code,active | cancelled | draft | entered-in-errorFinancial Resource Status Codes (Required)
3,ClaimResponse.type, type ,Σ,1..1,CodeableConcept,More granular claim typeClaim Type Codes (Extensible)
4,ClaimResponse.subType, subType ,,0..1,CodeableConcept,More granular claim typeExample Claim SubType Codes (Example)
5,ClaimResponse.use, use ,Σ,1..1,code,claim | preauthorization | predeterminationUse (Required)
6,ClaimResponse.patient, patient ,Σ,1..1,Reference(Patient),The recipient of the products and services
7,ClaimResponse.created, created ,Σ,1..1,dateTime,Response creation date
8,ClaimResponse.insurer, insurer ,Σ,1..1,Reference(Organization),Party responsible for reimbursement
9,ClaimResponse.requestor, requestor ,,0..1,Reference(Practitioner | PractitionerRole | Organization),Party responsible for the claim
10,ClaimResponse.request, request ,Σ,0..1,Reference(Claim),Id of resource triggering adjudication
11,ClaimResponse.outcome, outcome ,Σ,1..1,code,queued | complete | error | partialClaim Processing Codes (Required)
12,ClaimResponse.disposition, disposition ,,0..1,string,Disposition Message
13,ClaimResponse.preAuthRef, preAuthRef ,,0..1,string,Preauthorization reference
14,ClaimResponse.preAuthPeriod, preAuthPeriod ,,0..1,Period,Preauthorization reference effective period
15,ClaimResponse.payeeType, payeeType ,,0..1,CodeableConcept,Party to be paid any benefits payablePayeeType (Example)
16,ClaimResponse.item, item ,,0..*,BackboneElement,Adjudication for claim line items
17,ClaimResponse.item.itemSequence, itemSequence ,,1..1,positiveInt,Claim item instance identifier
18,ClaimResponse.item.noteNumber, noteNumber ,,0..*,positiveInt,Applicable note numbers
19,ClaimResponse.item.adjudication, adjudication ,,1..*,BackboneElement,Adjudication details
20,ClaimResponse.item.adjudication.category, category ,,1..1,CodeableConcept,Type of adjudication informationAdjudication Value Codes (Example)
21,ClaimResponse.item.adjudication.reason, reason ,,0..1,CodeableConcept,Explanation of adjudication outcomeAdjudication Reason Codes (Example)
