,Path,Name,Flag,Card,Type,Description
0,DocumentReference, DocumentReference ,TU,,DomainResource,"A reference to a documentElements defined in Ancestors: id, meta, implicitRules, language, text, contained, extension, modifierExtension"
1,DocumentReference.masterIdentifier, masterIdentifier ,Σ,0..1,Identifier,Master Version Specific Identifier
2,DocumentReference.identifier, identifier ,Σ,0..*,Identifier,Other identifiers for the document
3,DocumentReference.status, status ,?!Σ,1..1,code,current | superseded | entered-in-errorDocumentReferenceStatus (Required)
4,DocumentReference.docStatus, docStatus ,Σ,0..1,code,preliminary | final | amended | entered-in-errorCompositionStatus (Required)
5,DocumentReference.type, type ,Σ,0..1,CodeableConcept,Kind of document (LOINC if possible)Document Type Value Set (Preferred)
6,DocumentReference.category, category ,Σ,0..*,CodeableConcept,Categorization of documentDocument Class Value Set (Example)
7,DocumentReference.subject, subject ,Σ,0..1,Reference(Patient | Practitioner | Group | Device),Who/what is the subject of the document
8,DocumentReference.date, date ,Σ,0..1,instant,When this document reference was created
9,DocumentReference.author, author ,Σ,0..*,Reference(Practitioner | PractitionerRole | Organization | Device | Patient | RelatedPerson),Who and/or what authored the document
10,DocumentReference.authenticator, authenticator ,,0..1,Reference(Practitioner | PractitionerRole | Organization),Who/what authenticated the document
11,DocumentReference.custodian, custodian ,,0..1,Reference(Organization),Organization which maintains the document
12,DocumentReference.relatesTo, relatesTo ,Σ,0..*,BackboneElement,Relationships to other documents
13,DocumentReference.relatesTo.code, code ,Σ,1..1,code,replaces | transforms | signs | appendsDocumentRelationshipType (Required)
14,DocumentReference.relatesTo.target, target ,Σ,1..1,Reference(DocumentReference),Target of the relationship
15,DocumentReference.description, description ,Σ,0..1,string,Human-readable description
16,DocumentReference.securityLabel, securityLabel ,Σ,0..*,CodeableConcept,Document security-tagsSecurityLabels (Extensible)
17,DocumentReference.content, content ,Σ,1..*,BackboneElement,Document referenced
18,DocumentReference.content.attachment, attachment ,Σ,1..1,Attachment,Where to access the document
19,DocumentReference.content.format, format ,Σ,0..1,Coding,Format/content rules for the documentDocumentReference Format Code Set (Preferred)
20,DocumentReference.context, context ,Σ,0..1,BackboneElement,Clinical context of document
21,DocumentReference.context.encounter, encounter ,,0..*,Reference(Encounter | EpisodeOfCare),Context of the document  content
22,DocumentReference.context.event, event ,,0..*,CodeableConcept,Main clinical acts documentedv3 Code System ActCode (Example)
23,DocumentReference.context.period, period ,Σ,0..1,Period,Time of service that is being documented
24,DocumentReference.context.facilityType, facilityType ,,0..1,CodeableConcept,Kind of facility where patient was seenFacility Type Code Value Set (Example)
25,DocumentReference.context.practiceSetting, practiceSetting ,,0..1,CodeableConcept,Additional details about where the content was created (e.g. clinical specialty)Practice Setting Code Value Set (Example)
26,DocumentReference.context.sourcePatientInfo, sourcePatientInfo ,,0..1,Reference(Patient),Patient demographics from source
27,DocumentReference.context.related, related ,,0..*,Reference(Any),Related identifiers or resources
