,Path,Name,Flag,Card,Type,Description
0,ExplanationOfBenefit, ExplanationOfBenefit ,TU,,DomainResource,"Explanation of Benefit resourceElements defined in Ancestors: id, meta, implicitRules, language, text, contained, extension, modifierExtension"
1,ExplanationOfBenefit.identifier, identifier ,,0..*,Identifier,Business Identifier for the resource
2,ExplanationOfBenefit.status, status ,?!Σ,1..1,code,active | cancelled | draft | entered-in-errorExplanationOfBenefitStatus (Required)
3,ExplanationOfBenefit.type, type ,Σ,1..1,CodeableConcept,Category or disciplineClaim Type Codes (Extensible)
4,ExplanationOfBenefit.subType, subType ,,0..1,CodeableConcept,More granular claim typeExample Claim SubType Codes (Example)
5,ExplanationOfBenefit.use, use ,Σ,1..1,code,claim | preauthorization | predeterminationUse (Required)
6,ExplanationOfBenefit.patient, patient ,Σ,1..1,Reference(Patient),The recipient of the products and services
7,ExplanationOfBenefit.billablePeriod, billablePeriod ,Σ,0..1,Period,Relevant time frame for the claim
8,ExplanationOfBenefit.created, created ,Σ,1..1,dateTime,Response creation date
9,ExplanationOfBenefit.enterer, enterer ,,0..1,Reference(Practitioner | PractitionerRole),Author of the claim
10,ExplanationOfBenefit.insurer, insurer ,Σ,1..1,Reference(Organization),Party responsible for reimbursement
11,ExplanationOfBenefit.provider, provider ,Σ,1..1,Reference(Practitioner | PractitionerRole | Organization),Party responsible for the claim
12,ExplanationOfBenefit.priority, priority ,,0..1,CodeableConcept,Desired processing urgencyProcessPriority  (Example)
13,ExplanationOfBenefit.fundsReserveRequested, fundsReserveRequested ,,0..1,CodeableConcept,For whom to reserve fundsFundsReserve (Example)
14,ExplanationOfBenefit.fundsReserve, fundsReserve ,,0..1,CodeableConcept,Funds reserved statusFundsReserve (Example)
15,ExplanationOfBenefit.related, related ,,0..*,BackboneElement,Prior or corollary claims
16,ExplanationOfBenefit.related.claim, claim ,,0..1,Reference(Claim),Reference to the related claim
17,ExplanationOfBenefit.related.relationship, relationship ,,0..1,CodeableConcept,How the reference claim is relatedExample Related Claim Relationship Codes (Example)
18,ExplanationOfBenefit.related.reference, reference ,,0..1,Identifier,File or case reference
19,ExplanationOfBenefit.prescription, prescription ,,0..1,Reference(MedicationRequest | VisionPrescription),Prescription authorizing services or products
20,ExplanationOfBenefit.originalPrescription, originalPrescription ,,0..1,Reference(MedicationRequest),Original prescription if superceded by fulfiller
21,ExplanationOfBenefit.payee, payee ,,0..1,BackboneElement,Recipient of benefits payable
22,ExplanationOfBenefit.payee.type, type ,,0..1,CodeableConcept,Category of recipientPayeeType (Example)
23,ExplanationOfBenefit.payee.party, party ,,0..1,Reference(Practitioner | PractitionerRole | Organization | Patient | RelatedPerson),Recipient reference
24,ExplanationOfBenefit.referral, referral ,,0..1,Reference(ServiceRequest),Treatment Referral
25,ExplanationOfBenefit.facility, facility ,,0..1,Reference(Location),Servicing Facility
26,ExplanationOfBenefit.claim, claim ,,0..1,Reference(Claim),Claim reference
27,ExplanationOfBenefit.claimResponse, claimResponse ,,0..1,Reference(ClaimResponse),Claim response reference
28,ExplanationOfBenefit.outcome, outcome ,Σ,1..1,code,queued | complete | error | partialClaim Processing Codes (Required)
29,ExplanationOfBenefit.disposition, disposition ,,0..1,string,Disposition Message
30,ExplanationOfBenefit.preAuthRef, preAuthRef ,,0..*,string,Preauthorization reference
31,ExplanationOfBenefit.preAuthRefPeriod, preAuthRefPeriod ,,0..*,Period,Preauthorization in-effect period
32,ExplanationOfBenefit.careTeam, careTeam ,,0..*,BackboneElement,Care Team members
33,ExplanationOfBenefit.careTeam.sequence, sequence ,,1..1,positiveInt,Order of care team
34,ExplanationOfBenefit.careTeam.provider, provider ,,1..1,Reference(Practitioner | PractitionerRole | Organization),Practitioner or organization
35,ExplanationOfBenefit.careTeam.responsible, responsible ,,0..1,boolean,Indicator of the lead practitioner
36,ExplanationOfBenefit.careTeam.role, role ,,0..1,CodeableConcept,Function within the teamClaim Care Team Role Codes (Example)
37,ExplanationOfBenefit.careTeam.qualification, qualification ,,0..1,CodeableConcept,Practitioner credential or specializationExample Provider Qualification Codes (Example)
38,ExplanationOfBenefit.supportingInfo, supportingInfo ,,0..*,BackboneElement,Supporting information
39,ExplanationOfBenefit.supportingInfo.sequence, sequence ,,1..1,positiveInt,Information instance identifier
40,ExplanationOfBenefit.supportingInfo.category, category ,,1..1,CodeableConcept,Classification of the supplied informationClaim Information Category Codes (Example)
41,ExplanationOfBenefit.supportingInfo.code, code ,,0..1,CodeableConcept,Type of informationException Codes (Example)
42,ExplanationOfBenefit.supportingInfo.timingDate,timingDate,,0..1,date,When it occurred
43,ExplanationOfBenefit.supportingInfo.timingPeriod,timingPeriod,,0..1,Period,When it occurred
44,ExplanationOfBenefit.supportingInfo.valueBoolean,valueBoolean,,0..1,boolean,Data to be provided
45,ExplanationOfBenefit.supportingInfo.valueString,valueString,,0..1,string,Data to be provided
46,ExplanationOfBenefit.supportingInfo.valueQuantity,valueQuantity,,0..1,Quantity,Data to be provided
47,ExplanationOfBenefit.supportingInfo.valueAttachment,valueAttachment,,0..1,Attachment,Data to be provided
48,ExplanationOfBenefit.supportingInfo.valueReference(any),valueReference(any),,0..1,Reference(Any),Data to be provided
