,Path,Name,Flag,Card,Type,Description
0,MedicinalProductPackaged, MedicinalProductPackaged ,ΣTU,,DomainResource,"A medicinal product in a container or packageElements defined in Ancestors: id, meta, implicitRules, language, text, contained, extension, modifierExtension"
1,MedicinalProductPackaged.identifier, identifier ,Σ,0..*,Identifier,Unique identifier
2,MedicinalProductPackaged.subject, subject ,Σ,0..*,Reference(MedicinalProduct),The product with this is a pack for
3,MedicinalProductPackaged.description, description ,Σ,0..1,string,Textual description
4,MedicinalProductPackaged.legalStatusOfSupply, legalStatusOfSupply ,Σ,0..1,CodeableConcept,The legal status of supply of the medicinal product as classified by the regulator
5,MedicinalProductPackaged.marketingStatus, marketingStatus ,Σ,0..*,MarketingStatus,Marketing information
6,MedicinalProductPackaged.marketingAuthorization, marketingAuthorization ,Σ,0..1,Reference(MedicinalProductAuthorization),Manufacturer of this Package Item
7,MedicinalProductPackaged.manufacturer, manufacturer ,Σ,0..*,Reference(Organization),Manufacturer of this Package Item
8,MedicinalProductPackaged.batchIdentifier, batchIdentifier ,Σ,0..*,BackboneElement,Batch numbering
9,MedicinalProductPackaged.batchIdentifier.outerPackaging, outerPackaging ,Σ,1..1,Identifier,A number appearing on the outer packaging of a specific batch
10,MedicinalProductPackaged.batchIdentifier.immediatePackaging, immediatePackaging ,Σ,0..1,Identifier,A number appearing on the immediate packaging (and not the outer packaging)
11,MedicinalProductPackaged.packageItem, packageItem ,Σ,1..*,BackboneElement,"A packaging item, as a contained for medicine, possibly with other packaging items within"
12,MedicinalProductPackaged.packageItem.identifier, identifier ,Σ,0..*,Identifier,Including possibly Data Carrier Identifier
13,MedicinalProductPackaged.packageItem.type, type ,Σ,1..1,CodeableConcept,The physical type of the container of the medicine
14,MedicinalProductPackaged.packageItem.quantity, quantity ,Σ,1..1,Quantity,"The quantity of this package in the medicinal product, at the current level of packaging. The outermost is always 1"
15,MedicinalProductPackaged.packageItem.material, material ,Σ,0..*,CodeableConcept,Material type of the package item
16,MedicinalProductPackaged.packageItem.alternateMaterial, alternateMaterial ,Σ,0..*,CodeableConcept,A possible alternate material for the packaging
17,MedicinalProductPackaged.packageItem.device, device ,Σ,0..*,Reference(DeviceDefinition),A device accompanying a medicinal product
18,MedicinalProductPackaged.packageItem.manufacturedItem, manufacturedItem ,Σ,0..*,Reference(MedicinalProductManufactured),The manufactured item as contained in the packaged medicinal product
19,MedicinalProductPackaged.packageItem.packageItem, packageItem ,Σ,0..*,see packageItem,Allows containers within containers
20,MedicinalProductPackaged.packageItem.physicalCharacteristics, physicalCharacteristics ,Σ,0..1,ProdCharacteristic,"Dimensions, color etc."
21,MedicinalProductPackaged.packageItem.otherCharacteristics, otherCharacteristics ,Σ,0..*,CodeableConcept,Other codeable characteristics
22,MedicinalProductPackaged.packageItem.shelfLifeStorage, shelfLifeStorage ,Σ,0..*,ProductShelfLife,Shelf Life and storage information
23,MedicinalProductPackaged.packageItem.manufacturer, manufacturer ,Σ,0..*,Reference(Organization),Manufacturer of this Package Item
