,Path,Name,Flag,Card,Type,Description
0,MolecularSequence, MolecularSequence ,ΣITU,,DomainResource,"Information about a biological sequence+ Rule: Only 0 and 1 are valid for coordinateSystemElements defined in Ancestors: id, meta, implicitRules, language, text, contained, extension, modifierExtension"
1,MolecularSequence.identifier, identifier ,Σ,0..*,Identifier,Unique ID for this particular sequence. This is a FHIR-defined id
2,MolecularSequence.type, type ,Σ,0..1,code,aa | dna | rnasequenceType (Required)
3,MolecularSequence.coordinateSystem, coordinateSystem ,Σ,1..1,integer,"Base number of coordinate system (0 for 0-based numbering or coordinates, inclusive start, exclusive end, 1 for 1-based numbering, inclusive start, inclusive end)"
4,MolecularSequence.patient, patient ,Σ,0..1,Reference(Patient),Who and/or what this is about
5,MolecularSequence.specimen, specimen ,Σ,0..1,Reference(Specimen),Specimen used for sequencing
6,MolecularSequence.device, device ,Σ,0..1,Reference(Device),The method for sequencing
7,MolecularSequence.performer, performer ,Σ,0..1,Reference(Organization),Who should be responsible for test result
8,MolecularSequence.quantity, quantity ,Σ,0..1,Quantity,The number of copies of the sequence of interest.  (RNASeq)
9,MolecularSequence.referenceSeq, referenceSeq ,ΣI,0..1,BackboneElement,A sequence used as reference+ Rule: GenomeBuild and chromosome must be both contained if either one of them is contained+ Rule: Have and only have one of the following elements in referenceSeq : 1. genomeBuild ; 2 referenceSeqId; 3. referenceSeqPointer;  4. referenceSeqString;
10,MolecularSequence.referenceSeq.chromosome, chromosome ,Σ,0..1,CodeableConcept,Chromosome containing genetic findingchromosome-human (Example)
11,MolecularSequence.referenceSeq.genomeBuild, genomeBuild ,Σ,0..1,string,"The Genome Build used for reference, following GRCh build versions e.g. 'GRCh 37'"
12,MolecularSequence.referenceSeq.orientation, orientation ,Σ,0..1,code,sense | antisenseorientationType (Required)
13,MolecularSequence.referenceSeq.referenceSeqId, referenceSeqId ,Σ,0..1,CodeableConcept,Reference identifierE n s e m b l (Example)
14,MolecularSequence.referenceSeq.referenceSeqPointer, referenceSeqPointer ,Σ,0..1,Reference(MolecularSequence),A pointer to another MolecularSequence entity as reference sequence
15,MolecularSequence.referenceSeq.referenceSeqString, referenceSeqString ,Σ,0..1,string,A string to represent reference sequence
16,MolecularSequence.referenceSeq.strand, strand ,Σ,0..1,code,watson | crickstrandType (Required)
17,MolecularSequence.referenceSeq.windowStart, windowStart ,Σ,0..1,integer,Start position of the window on the  reference sequence
18,MolecularSequence.referenceSeq.windowEnd, windowEnd ,Σ,0..1,integer,End position of the window on the reference sequence
19,MolecularSequence.variant, variant ,Σ,0..*,BackboneElement,Variant in sequence
20,MolecularSequence.variant.start, start ,Σ,0..1,integer,Start position of the variant on the  reference sequence
21,MolecularSequence.variant.end, end ,Σ,0..1,integer,End position of the variant on the reference sequence
22,MolecularSequence.variant.observedAllele, observedAllele ,Σ,0..1,string,Allele that was observed
