,Path,Name,Flag,Card,Type,Description
0,NutritionOrder, NutritionOrder ,ITU,,DomainResource,"Diet, formula or nutritional supplement request+ Warning: Nutrition Order SHALL contain either Oral Diet , Supplement, or Enteral Formula classElements defined in Ancestors: id, meta, implicitRules, language, text, contained, extension, modifierExtension"
1,NutritionOrder.identifier, identifier ,,0..*,Identifier,Identifiers assigned to this order
2,NutritionOrder.instantiatesCanonical, instantiatesCanonical ,Σ,0..*,canonical(ActivityDefinition | PlanDefinition),Instantiates FHIR protocol or definition
3,NutritionOrder.instantiatesUri, instantiatesUri ,Σ,0..*,uri,Instantiates external protocol or definition
4,NutritionOrder.instantiates, instantiates ,,0..*,uri,Instantiates protocol or definition
5,NutritionOrder.status, status ,?!Σ,1..1,code,draft | active | on-hold | revoked | completed | entered-in-error | unknownRequestStatus (Required)
6,NutritionOrder.intent, intent ,?!Σ,1..1,code,proposal | plan | directive | order | original-order | reflex-order | filler-order | instance-order | optionRequestIntent (Required)
7,NutritionOrder.patient, patient ,Σ,1..1,Reference(Patient),"The person who requires the diet, formula or nutritional supplement"
8,NutritionOrder.encounter, encounter ,,0..1,Reference(Encounter),The encounter associated with this nutrition order
9,NutritionOrder.dateTime, dateTime ,Σ,1..1,dateTime,Date and time the nutrition order was requested
10,NutritionOrder.orderer, orderer ,Σ,0..1,Reference(Practitioner | PractitionerRole),"Who ordered the diet, formula or nutritional supplement"
11,NutritionOrder.allergyIntolerance, allergyIntolerance ,,0..*,Reference(AllergyIntolerance),List of the patient's food and nutrition-related allergies and intolerances
12,NutritionOrder.foodPreferenceModifier, foodPreferenceModifier ,,0..*,CodeableConcept,Order-specific modifier about the type of food that should be givenDiet (Example)
13,NutritionOrder.excludeFoodModifier, excludeFoodModifier ,,0..*,CodeableConcept,Order-specific modifier about the type of food that should not be givenFood Type Codes (Example)
14,NutritionOrder.oralDiet, oralDiet ,I,0..1,BackboneElement,Oral diet components
15,NutritionOrder.oralDiet.type, type ,Σ,0..*,CodeableConcept,Type of oral diet or diet restrictions that describe what can be consumed orallyDiet Codes (Example)
16,NutritionOrder.oralDiet.schedule, schedule ,,0..*,Timing,Scheduled frequency of diet
17,NutritionOrder.oralDiet.nutrient, nutrient ,,0..*,BackboneElement,Required  nutrient modifications
18,NutritionOrder.oralDiet.nutrient.modifier, modifier ,,0..1,CodeableConcept,Type of nutrient that is being modifiedNutrient Modifier Codes (Example)
19,NutritionOrder.oralDiet.nutrient.amount, amount ,,0..1,SimpleQuantity,Quantity of the specified nutrient
20,NutritionOrder.oralDiet.texture, texture ,,0..*,BackboneElement,Required  texture modifications
21,NutritionOrder.oralDiet.texture.modifier, modifier ,,0..1,CodeableConcept,"Code to indicate how to alter the texture of the foods, e.g. pureedTexture Modifier Codes (Example)"
