,Path,Name,Flag,Card,Type,Description
0,Organization, Organization ,ITU,,DomainResource,"A grouping of people or organizations with a common purpose+ Rule: The organization SHALL at least have a name or an identifier, and possibly more than oneElements defined in Ancestors: id, meta, implicitRules, language, text, contained, extension, modifierExtension"
1,Organization.identifier, identifier ,ΣI,0..*,Identifier,Identifies this organization  across multiple systems
2,Organization.active, active ,?!Σ,0..1,boolean,Whether the organization's record is still in active use
3,Organization.type, type ,Σ,0..*,CodeableConcept,Kind of organizationOrganization type (Example)
4,Organization.name, name ,ΣI,0..1,string,Name used for the organization
5,Organization.alias, alias ,,0..*,string,"A list of alternate names that the organization is known as, or was known as in the past"
6,Organization.telecom, telecom ,I,0..*,ContactPoint,A contact detail for the organization+ Rule: The telecom of an organization can never be of use 'home'
7,Organization.address, address ,I,0..*,Address,An address for the organization+ Rule: An address of an organization can never be of use 'home'
8,Organization.partOf, partOf ,Σ,0..1,Reference(Organization),The organization of which this organization forms a part
9,Organization.contact, contact ,,0..*,BackboneElement,Contact for the organization for a certain purpose
10,Organization.contact.purpose, purpose ,,0..1,CodeableConcept,The type of contactContact entity type (Extensible)
11,Organization.contact.name, name ,,0..1,HumanName,A name associated with the contact
12,Organization.contact.telecom, telecom ,,0..*,ContactPoint,"Contact details (telephone, email, etc.)  for a contact"
13,Organization.contact.address, address ,,0..1,Address,Visiting or postal addresses for the contact
14,Organization.endpoint, endpoint ,,0..*,Reference(Endpoint),Technical endpoints providing access to services operated for the organization
