,Path,Name,Flag,Card,Type,Description
0,OrganizationAffiliation, OrganizationAffiliation ,TU,,DomainResource,"Defines an affiliation/assotiation/relationship between 2 distinct oganizations, that is not a part-of relationship/sub-division relationshipElements defined in Ancestors: id, meta, implicitRules, language, text, contained, extension, modifierExtension"
1,OrganizationAffiliation.identifier, identifier ,Σ,0..*,Identifier,Business identifiers that are specific to this role
2,OrganizationAffiliation.active, active ,Σ,0..1,boolean,Whether this organization affiliation record is in active use
3,OrganizationAffiliation.period, period ,Σ,0..1,Period,The period during which the participatingOrganization is affiliated with the primary organization
4,OrganizationAffiliation.organization, organization ,Σ,0..1,Reference(Organization),Organization where the role is available
5,OrganizationAffiliation.participatingOrganization, participatingOrganization ,Σ,0..1,Reference(Organization),Organization that provides/performs the role (e.g. providing services or is a member of)
6,OrganizationAffiliation.network, network ,Σ,0..*,Reference(Organization),Health insurance provider network in which the participatingOrganization provides the role's services (if defined) at the indicated locations (if defined)
7,OrganizationAffiliation.code, code ,Σ,0..*,CodeableConcept,Definition of the role the participatingOrganization playsOrganization Affiliation Role (Example)
8,OrganizationAffiliation.specialty, specialty ,Σ,0..*,CodeableConcept,Specific specialty of the participatingOrganization in the context of the rolePractice Setting Code Value Set (Preferred)
9,OrganizationAffiliation.location, location ,Σ,0..*,Reference(Location),The location(s) at which the role occurs
10,OrganizationAffiliation.healthcareService, healthcareService ,,0..*,Reference(HealthcareService),Healthcare services provided through the role
11,OrganizationAffiliation.telecom, telecom ,Σ,0..*,ContactPoint,Contact details at the participatingOrganization relevant to this Affiliation
12,OrganizationAffiliation.endpoint, endpoint ,,0..*,Reference(Endpoint),Technical endpoints providing access to services operated for this role
