,Path,Name,Flag,Card,Type,Description
0,Person, Person ,TU,,DomainResource,"A generic person recordElements defined in Ancestors: id, meta, implicitRules, language, text, contained, extension, modifierExtension"
1,Person.identifier, identifier ,,0..*,Identifier,A human identifier for this person
2,Person.name, name ,Σ,0..*,HumanName,A name associated with the person
3,Person.telecom, telecom ,Σ,0..*,ContactPoint,A contact detail for the person
4,Person.gender, gender ,Σ,0..1,code,male | female | other | unknownAdministrativeGender (Required)
5,Person.birthDate, birthDate ,Σ,0..1,date,The date on which the person was born
6,Person.address, address ,,0..*,Address,One or more addresses for the person
7,Person.photo, photo ,,0..1,Attachment,Image of the person
8,Person.managingOrganization, managingOrganization ,Σ,0..1,Reference(Organization),The organization that is the custodian of the person record
9,Person.active, active ,?!Σ,0..1,boolean,This person's record is in active use
10,Person.link, link ,,0..*,BackboneElement,Link to a resource that concerns the same actual person
11,Person.link.target, target ,,1..1,Reference(Patient | Practitioner | RelatedPerson | Person),The resource to which this actual person is associated
12,Person.link.assurance, assurance ,,0..1,code,level1 | level2 | level3 | level4IdentityAssuranceLevel (Required)
