,Path,Name,Flag,Card,Type,Description
0,Questionnaire, Questionnaire ,ITU,,DomainResource,"A structured set of questions+ Warning: Name should be usable as an identifier for the module by machine processing applications such as code generation+ Rule: The link ids for groups and questions must be unique within the questionnaireElements defined in Ancestors: id, meta, implicitRules, language, text, contained, extension, modifierExtension"
1,Questionnaire.url, url ,Σ,0..1,uri,"Canonical identifier for this questionnaire, represented as a URI (globally unique)"
2,Questionnaire.identifier, identifier ,Σ,0..*,Identifier,Additional identifier for the questionnaire
3,Questionnaire.version, version ,Σ,0..1,string,Business version of the questionnaire
4,Questionnaire.name, name ,ΣI,0..1,string,Name for this questionnaire (computer friendly)
5,Questionnaire.title, title ,Σ,0..1,string,Name for this questionnaire (human friendly)
6,Questionnaire.derivedFrom, derivedFrom ,,0..*,canonical(Questionnaire),Instantiates protocol or definition
7,Questionnaire.status, status ,?!Σ,1..1,code,draft | active | retired | unknownPublicationStatus (Required)
8,Questionnaire.experimental, experimental ,Σ,0..1,boolean,"For testing purposes, not real usage"
9,Questionnaire.subjectType, subjectType ,Σ,0..*,code,Resource that can be subject of QuestionnaireResponseResourceType (Required)
10,Questionnaire.date, date ,Σ,0..1,dateTime,Date last changed
11,Questionnaire.publisher, publisher ,Σ,0..1,string,Name of the publisher (organization or individual)
12,Questionnaire.contact, contact ,Σ,0..*,ContactDetail,Contact details for the publisher
13,Questionnaire.description, description ,,0..1,markdown,Natural language description of the questionnaire
14,Questionnaire.useContext, useContext ,Σ,0..*,UsageContext,The context that the content is intended to support
15,Questionnaire.jurisdiction, jurisdiction ,Σ,0..*,CodeableConcept,Intended jurisdiction for questionnaire (if applicable)Jurisdiction (Extensible)
16,Questionnaire.purpose, purpose ,,0..1,markdown,Why this questionnaire is defined
17,Questionnaire.copyright, copyright ,,0..1,markdown,Use and/or publishing restrictions
18,Questionnaire.approvalDate, approvalDate ,,0..1,date,When the questionnaire was approved by publisher
19,Questionnaire.lastReviewDate, lastReviewDate ,,0..1,date,When the questionnaire was last reviewed
20,Questionnaire.effectivePeriod, effectivePeriod ,Σ,0..1,Period,When the questionnaire is expected to be used
21,Questionnaire.code, code ,Σ,0..*,Coding,Concept that represents the overall questionnaireQuestionnaire Question Codes (Example)
22,Questionnaire.item, item ,I,0..*,BackboneElement,"Questions and sections within the Questionnaire+ Rule: Group items must have nested items, display items cannot have nested items+ Rule: Display items cannot have a ""code"" asserted+ Rule: A question cannot have both answerOption and answerValueSet+ Rule: Only 'choice' and 'open-choice' items can have answerValueSet+ Rule: Required and repeat aren't permitted for display items+ Rule: Initial values can't be specified for groups or display items+ Rule: Read-only can't be specified for ""display"" items+ Rule: Maximum length can only be declared for simple question types+ Rule: If one or more answerOption is present, initial[x] must be missing+ Rule: If there are more than one enableWhen, enableBehavior must be specified+ Rule: Can only have multiple initial values for repeating items"
23,Questionnaire.item.linkId, linkId ,,1..1,string,Unique id for item in questionnaire
24,Questionnaire.item.definition, definition ,,0..1,uri,ElementDefinition - details for the item
25,Questionnaire.item.code, code ,I,0..*,Coding,Corresponding concept for this item in a terminologyQuestionnaire Question Codes (Example)
26,Questionnaire.item.prefix, prefix ,,0..1,string,"E.g. ""1(a)"", ""2.5.3"""
27,Questionnaire.item.text, text ,,0..1,string,Primary text for the item
28,Questionnaire.item.type, type ,,1..1,code,group | display | boolean | decimal | integer | date | dateTime +QuestionnaireItemType (Required)
